date,product_id,warehouse_id,opening_stock,receipts,demand,closing_stock,stockout_units
2025-01-01,PROD001,WH001,202,0,12,190,0
2025-01-01,PROD002,WH001,448,0,6,442,0
2025-01-01,PROD003,WH002,370,0,7,363,0
2025-01-01,PROD004,WH002,206,0,23,183,0
2025-01-01,PROD005,WH003,171,0,15,156,0
2025-01-01,PROD006,WH003,288,0,13,275,0
2025-01-01,PROD007,WH003,120,0,16,104,0
2025-01-01,PROD008,WH003,202,0,279,0,77
2025-01-01,PROD009,WH004,221,0,41,180,0
2025-01-01,PROD010,WH001,314,0,32,282,0
2025-01-01,PROD011,WH001,430,0,79,351,0
2025-01-01,PROD012,WH001,187,0,20,167,0
2025-01-01,PROD013,WH004,472,0,95,377,0
2025-01-01,PROD014,WH004,199,530,104,625,0
2025-01-01,PROD015,WH004,459,0,34,425,0
2025-01-01,PROD016,WH004,251,0,20,231,0
2025-01-01,PROD017,WH003,230,0,40,190,0
2025-01-01,PROD018,WH003,249,0,383,0,134
2025-01-01,PROD019,WH001,408,0,6,402,0
2025-01-01,PROD020,WH001,357,0,9,348,0
2025-01-02,PROD001,WH001,190,0,9,181,0
2025-01-02,PROD002,WH001,442,0,6,436,0
2025-01-02,PROD003,WH002,363,0,14,349,0
2025-01-02,PROD004,WH002,183,0,16,167,0
2025-01-02,PROD005,WH003,156,0,12,144,0
2025-01-02,PROD006,WH003,275,0,12,263,0
2025-01-02,PROD007,WH003,104,0,15,89,0
2025-01-02,PROD008,WH003,0,221,32,189,0
2025-01-02,PROD009,WH004,180,0,28,152,0
2025-01-02,PROD010,WH001,282,0,49,233,0
2025-01-02,PROD011,WH001,351,0,98,253,0
2025-01-02,PROD012,WH001,167,0,30,137,0
2025-01-02,PROD013,WH004,377,0,62,315,0
2025-01-02,PROD014,WH004,625,0,75,550,0
2025-01-02,PROD015,WH004,425,0,35,390,0
2025-01-02,PROD016,WH004,231,0,27,204,0
2025-01-02,PROD017,WH003,190,0,31,159,0
2025-01-02,PROD018,WH003,0,222,30,192,0
2025-01-02,PROD019,WH001,402,0,7,395,0
2025-01-02,PROD020,WH001,348,0,10,338,0
2025-01-03,PROD001,WH001,181,0,9,172,0
2025-01-03,PROD002,WH001,436,0,4,432,0
2025-01-03,PROD003,WH002,349,0,21,328,0
2025-01-03,PROD004,WH002,167,0,21,146,0
2025-01-03,PROD005,WH003,144,0,9,135,0
2025-01-03,PROD006,WH003,263,0,13,250,0
2025-01-03,PROD007,WH003,89,0,21,68,0
2025-01-03,PROD008,WH003,189,0,25,164,0
2025-01-03,PROD009,WH004,152,0,31,121,0
2025-01-03,PROD010,WH001,233,0,49,184,0
2025-01-03,PROD011,WH001,253,0,82,171,0
2025-01-03,PROD012,WH001,137,0,19,118,0
2025-01-03,PROD013,WH004,315,0,110,205,0
2025-01-03,PROD014,WH004,550,0,30,520,0
2025-01-03,PROD015,WH004,390,0,44,346,0
2025-01-03,PROD016,WH004,204,0,21,183,0
2025-01-03,PROD017,WH003,159,0,40,119,0
2025-01-03,PROD018,WH003,192,0,39,153,0
2025-01-03,PROD019,WH001,395,0,8,387,0
2025-01-03,PROD020,WH001,338,0,12,326,0
2025-01-04,PROD001,WH001,172,0,9,163,0
2025-01-04,PROD002,WH001,432,0,7,425,0
2025-01-04,PROD003,WH002,328,0,11,317,0
2025-01-04,PROD004,WH002,146,0,14,132,0
2025-01-04,PROD005,WH003,135,0,24,111,0
2025-01-04,PROD006,WH003,250,0,9,241,0
2025-01-04,PROD007,WH003,68,0,19,49,0
2025-01-04,PROD008,WH003,164,0,15,149,0
2025-01-04,PROD009,WH004,121,0,34,87,0
2025-01-04,PROD010,WH001,184,0,49,135,0
2025-01-04,PROD011,WH001,171,524,84,611,0
2025-01-04,PROD012,WH001,118,0,27,91,0
2025-01-04,PROD013,WH004,205,941,99,1047,0
2025-01-04,PROD014,WH004,520,0,83,437,0
2025-01-04,PROD015,WH004,346,0,45,301,0
2025-01-04,PROD016,WH004,183,0,27,156,0
2025-01-04,PROD017,WH003,119,278,38,359,0
2025-01-04,PROD018,WH003,153,0,19,134,0
2025-01-04,PROD019,WH001,387,0,9,378,0
2025-01-04,PROD020,WH001,326,0,8,318,0
2025-01-05,PROD001,WH001,163,0,8,155,0
2025-01-05,PROD002,WH001,425,0,8,417,0
2025-01-05,PROD003,WH002,317,0,10,307,0
2025-01-05,PROD004,WH002,132,0,22,110,0
2025-01-05,PROD005,WH003,111,0,25,86,0
2025-01-05,PROD006,WH003,241,0,8,233,0
2025-01-05,PROD007,WH003,49,117,24,142,0
2025-01-05,PROD008,WH003,149,0,34,115,0
2025-01-05,PROD009,WH004,87,246,45,288,0
2025-01-05,PROD010,WH001,135,0,43,92,0
2025-01-05,PROD011,WH001,611,0,68,543,0
2025-01-05,PROD012,WH001,91,0,21,70,0
2025-01-05,PROD013,WH004,1047,0,96,951,0
2025-01-05,PROD014,WH004,437,0,64,373,0
2025-01-05,PROD015,WH004,301,0,27,274,0
2025-01-05,PROD016,WH004,156,0,18,138,0
2025-01-05,PROD017,WH003,359,0,32,327,0
2025-01-05,PROD018,WH003,134,0,51,83,0
2025-01-05,PROD019,WH001,378,0,7,371,0
2025-01-05,PROD020,WH001,318,0,9,309,0
2025-01-06,PROD001,WH001,155,0,9,146,0
2025-01-06,PROD002,WH001,417,0,6,411,0
2025-01-06,PROD003,WH002,307,0,15,292,0
2025-01-06,PROD004,WH002,110,0,23,87,0
2025-01-06,PROD005,WH003,86,0,32,54,0
2025-01-06,PROD006,WH003,233,0,11,222,0
2025-01-06,PROD007,WH003,142,0,20,122,0
2025-01-06,PROD008,WH003,115,0,38,77,0
2025-01-06,PROD009,WH004,288,0,45,243,0
2025-01-06,PROD010,WH001,92,372,30,434,0
2025-01-06,PROD011,WH001,543,0,50,493,0
2025-01-06,PROD012,WH001,70,168,33,205,0
2025-01-06,PROD013,WH004,951,0,97,854,0
2025-01-06,PROD014,WH004,373,0,69,304,0
2025-01-06,PROD015,WH004,274,0,42,232,0
2025-01-06,PROD016,WH004,138,0,22,116,0
2025-01-06,PROD017,WH003,327,0,24,303,0
2025-01-06,PROD018,WH003,83,241,38,286,0
2025-01-06,PROD019,WH001,371,0,3,368,0
2025-01-06,PROD020,WH001,309,0,11,298,0
2025-01-07,PROD001,WH001,146,0,7,139,0
2025-01-07,PROD002,WH001,411,0,7,404,0
2025-01-07,PROD003,WH002,292,0,19,273,0
2025-01-07,PROD004,WH002,87,0,30,57,0
2025-01-07,PROD005,WH003,54,246,27,273,0
2025-01-07,PROD006,WH003,222,0,14,208,0
2025-01-07,PROD007,WH003,122,0,16,106,0
2025-01-07,PROD008,WH003,77,171,38,210,0
2025-01-07,PROD009,WH004,243,0,38,205,0
2025-01-07,PROD010,WH001,434,0,28,406,0
2025-01-07,PROD011,WH001,493,0,39,454,0
2025-01-07,PROD012,WH001,205,0,31,174,0
2025-01-07,PROD013,WH004,854,0,80,774,0
2025-01-07,PROD014,WH004,304,0,56,248,0
2025-01-07,PROD015,WH004,232,0,36,196,0
2025-01-07,PROD016,WH004,116,0,23,93,0
2025-01-07,PROD017,WH003,303,0,34,269,0
2025-01-07,PROD018,WH003,286,0,13,273,0
2025-01-07,PROD019,WH001,368,0,8,360,0
2025-01-07,PROD020,WH001,298,0,13,285,0
2025-01-08,PROD001,WH001,139,0,9,130,0
2025-01-08,PROD002,WH001,404,0,4,400,0
