po_id,product_id,supplier_id,order_date,expected_date,actual_date,quantity,unit_cost,lead_time_days
PO00001,PROD004,SUP002,2025-01-05 00:00:00.000000000,2025-01-20 00:00:00.000000000,2025-01-21 00:00:00.000000000,656,42000,16
PO00002,PROD013,SUP001,2025-01-06 18:05:25.628140703,2025-01-11 18:05:25.628140703,2025-01-11 18:05:25.628140703,657,1800,5
PO00003,PROD015,SUP004,2025-01-08 12:10:51.256281407,2025-01-31 12:10:51.256281407,2025-02-03 12:10:51.256281407,382,15000,26
PO00004,PROD020,SUP005,2025-01-10 06:16:16.884422110,2025-01-28 06:16:16.884422110,2025-01-28 06:16:16.884422110,687,75000,18
PO00005,PROD003,SUP002,2025-01-12 00:21:42.512562814,2025-01-22 00:21:42.512562814,2025-01-22 00:21:42.512562814,258,95000,10
PO00006,PROD018,SUP003,2025-01-13 18:27:08.140703517,2025-01-20 18:27:08.140703517,2025-01-20 18:27:08.140703517,330,28000,7
PO00007,PROD002,SUP005,2025-01-15 12:32:33.768844221,2025-01-30 12:32:33.768844221,2025-01-30 12:32:33.768844221,414,320000,15
PO00008,PROD008,SUP003,2025-01-17 06:37:59.396984924,2025-01-25 06:37:59.396984924,2025-01-26 06:37:59.396984924,290,18000,9
PO00009,PROD004,SUP002,2025-01-19 00:43:25.025125628,2025-02-01 00:43:25.025125628,2025-02-01 00:43:25.025125628,375,42000,13
PO00010,PROD008,SUP003,2025-01-20 18:48:50.653266331,2025-01-30 18:48:50.653266331,2025-01-30 18:48:50.653266331,914,18000,10
PO00011,PROD004,SUP002,2025-01-22 12:54:16.281407035,2025-02-06 12:54:16.281407035,2025-02-07 12:54:16.281407035,396,42000,16
PO00012,PROD020,SUP005,2025-01-24 06:59:41.909547738,2025-02-09 06:59:41.909547738,2025-02-08 06:59:41.909547738,353,75000,15
PO00013,PROD012,SUP001,2025-01-26 01:05:07.537688442,2025-02-04 01:05:07.537688442,2025-02-02 01:05:07.537688442,917,22000,7
PO00014,PROD020,SUP005,2025-01-27 19:10:33.165829146,2025-02-11 19:10:33.165829146,2025-02-11 19:10:33.165829146,910,75000,15
PO00015,PROD020,SUP005,2025-01-29 13:15:58.793969849,2025-02-16 13:15:58.793969849,2025-02-16 13:15:58.793969849,697,75000,18
PO00016,PROD004,SUP002,2025-01-31 07:21:24.422110553,2025-02-12 07:21:24.422110553,2025-02-12 07:21:24.422110553,624,42000,12
PO00017,PROD015,SUP004,2025-02-02 01:26:50.050251256,2025-02-25 01:26:50.050251256,2025-02-22 01:26:50.050251256,315,15000,20
PO00018,PROD004,SUP002,2025-02-03 19:32:15.678391960,2025-02-15 19:32:15.678391960,2025-02-15 19:32:15.678391960,210,42000,12
PO00019,PROD008,SUP003,2025-02-05 13:37:41.306532663,2025-02-15 13:37:41.306532663,2025-02-15 13:37:41.306532663,665,18000,10
PO00020,PROD017,SUP003,2025-02-07 07:43:06.934673367,2025-02-18 07:43:06.934673367,2025-02-21 07:43:06.934673367,316,9500,14
PO00021,PROD008,SUP003,2025-02-09 01:48:32.562814070,2025-02-22 01:48:32.562814070,2025-02-22 01:48:32.562814070,126,18000,13
PO00022,PROD011,SUP001,2025-02-10 19:53:58.190954774,2025-02-23 19:53:58.190954774,2025-02-23 19:53:58.190954774,720,3500,13
PO00023,PROD001,SUP005,2025-02-12 13:59:23.819095477,2025-03-02 13:59:23.819095477,2025-03-02 13:59:23.819095477,158,185000,18
PO00024,PROD014,SUP001,2025-02-14 08:04:49.447236181,2025-02-20 08:04:49.447236181,2025-02-20 08:04:49.447236181,839,2500,6
PO00025,PROD014,SUP001,2025-02-16 02:10:15.075376885,2025-02-24 02:10:15.075376885,2025-02-24 02:10:15.075376885,292,2500,8
PO00026,PROD009,SUP004,2025-02-17 20:15:40.703517588,2025-03-11 20:15:40.703517588,2025-03-11 20:15:40.703517588,531,12000,22
PO00027,PROD008,SUP003,2025-02-19 14:21:06.331658292,2025-02-27 14:21:06.331658292,2025-02-27 14:21:06.331658292,985,18000,8
PO00028,PROD012,SUP001,2025-02-21 08:26:31.959798995,2025-03-01 08:26:31.959798995,2025-03-01 08:26:31.959798995,605,22000,8
PO00029,PROD008,SUP003,2025-02-23 02:31:57.587939699,2025-02-28 02:31:57.587939699,2025-03-02 02:31:57.587939699,216,18000,7
PO00030,PROD012,SUP001,2025-02-24 20:37:23.216080402,2025-03-05 20:37:23.216080402,2025-03-05 20:37:23.216080402,580,22000,9
PO00031,PROD016,SUP004,2025-02-26 14:42:48.844221106,2025-03-22 14:42:48.844221106,2025-03-22 14:42:48.844221106,993,24000,24
PO00032,PROD009,SUP004,2025-02-28 08:48:14.472361809,2025-03-18 08:48:14.472361809,2025-03-18 08:48:14.472361809,826,12000,18
PO00033,PROD018,SUP003,2025-03-02 02:53:40.100502513,2025-03-13 02:53:40.100502513,2025-03-13 02:53:40.100502513,631,28000,11
PO00034,PROD016,SUP004,2025-03-03 20:59:05.728643217,2025-03-24 20:59:05.728643217,2025-03-24 20:59:05.728643217,349,24000,21
PO00035,PROD003,SUP002,2025-03-05 15:04:31.356783920,2025-03-20 15:04:31.356783920,2025-03-25 15:04:31.356783920,304,95000,20
PO00036,PROD018,SUP003,2025-03-07 09:09:56.984924624,2025-03-13 09:09:56.984924624,2025-03-12 09:09:56.984924624,425,28000,5
PO00037,PROD002,SUP005,2025-03-09 03:15:22.613065327,2025-03-28 03:15:22.613065327,2025-03-28 03:15:22.613065327,640,320000,19
