order_id,order_date,product_id,warehouse_id,quantity_ordered,quantity_fulfilled,unit_price
ORD000001,2025-01-01,PROD001,WH001,12,12,241036.18
ORD000002,2025-01-01,PROD002,WH001,6,6,400443.48
ORD000003,2025-01-01,PROD003,WH002,7,7,124491.17
ORD000004,2025-01-01,PROD004,WH002,23,23,57236.03
ORD000005,2025-01-01,PROD005,WH003,15,15,39006.46
ORD000006,2025-01-01,PROD006,WH003,13,13,161947.33
ORD000007,2025-01-01,PROD007,WH003,16,16,48295.04
ORD000008,2025-01-01,PROD008,WH003,279,202,24545.03
ORD000009,2025-01-01,PROD009,WH004,41,41,16674.69
ORD000010,2025-01-01,PROD010,WH001,32,32,12038.04
ORD000011,2025-01-01,PROD011,WH001,79,79,5121.41
ORD000012,2025-01-01,PROD012,WH001,20,20,30519.65
ORD000013,2025-01-01,PROD013,WH004,95,95,2560.76
ORD000014,2025-01-01,PROD014,WH004,104,104,3517.43
ORD000015,2025-01-01,PROD015,WH004,34,34,20886.51
ORD000016,2025-01-01,PROD016,WH004,20,20,34468.47
ORD000017,2025-01-01,PROD017,WH003,40,40,13306.7
ORD000018,2025-01-01,PROD018,WH003,383,249,37037.96
ORD000019,2025-01-01,PROD019,WH001,6,6,188228.61
ORD000020,2025-01-01,PROD020,WH001,9,9,98795.42
ORD000021,2025-01-02,PROD001,WH001,9,9,242527.76
ORD000022,2025-01-02,PROD002,WH001,6,6,411263.52
ORD000023,2025-01-02,PROD003,WH002,14,14,122286.97
ORD000024,2025-01-02,PROD004,WH002,16,16,59421.59
ORD000025,2025-01-02,PROD005,WH003,12,12,40224.01
ORD000026,2025-01-02,PROD006,WH003,12,12,164581.07
ORD000027,2025-01-02,PROD007,WH003,15,15,49259.12
ORD000028,2025-01-02,PROD008,WH003,32,32,24395.95
ORD000029,2025-01-02,PROD009,WH004,28,28,17295.38
ORD000030,2025-01-02,PROD010,WH001,49,49,11902.56
ORD000031,2025-01-02,PROD011,WH001,98,98,5058.62
ORD000032,2025-01-02,PROD012,WH001,30,30,30775.31
ORD000033,2025-01-02,PROD013,WH004,62,62,2502.66
ORD000034,2025-01-02,PROD014,WH004,75,75,3399.75
ORD000035,2025-01-02,PROD015,WH004,35,35,20406.35
ORD000036,2025-01-02,PROD016,WH004,27,27,33654.34
ORD000037,2025-01-02,PROD017,WH003,31,31,13728.14
ORD000038,2025-01-02,PROD018,WH003,30,30,37517.24
ORD000039,2025-01-02,PROD019,WH001,7,7,188112.94
ORD000040,2025-01-02,PROD020,WH001,10,10,101706.76
ORD000041,2025-01-03,PROD001,WH001,9,9,234473.12
ORD000042,2025-01-03,PROD002,WH001,4,4,418531.6
ORD000043,2025-01-03,PROD003,WH002,21,21,123243.44
ORD000044,2025-01-03,PROD004,WH002,21,21,56438.26
ORD000045,2025-01-03,PROD005,WH003,9,9,39081.62
ORD000046,2025-01-03,PROD006,WH003,13,13,169480.29
ORD000047,2025-01-03,PROD007,WH003,21,21,47859.81
ORD000048,2025-01-03,PROD008,WH003,25,25,24634.66
ORD000049,2025-01-03,PROD009,WH004,31,31,17021.7
ORD000050,2025-01-03,PROD010,WH001,49,49,12131.29
ORD000051,2025-01-03,PROD011,WH001,82,82,4945.64
ORD000052,2025-01-03,PROD012,WH001,19,19,30405.49
ORD000053,2025-01-03,PROD013,WH004,110,110,2462.84
ORD000054,2025-01-03,PROD014,WH004,30,30,3418.59
ORD000055,2025-01-03,PROD015,WH004,44,44,21062.63
ORD000056,2025-01-03,PROD016,WH004,21,21,33288.28
ORD000057,2025-01-03,PROD017,WH003,40,40,13856.79
ORD000058,2025-01-03,PROD018,WH003,39,39,36861.02
ORD000059,2025-01-03,PROD019,WH001,8,8,192914.94
ORD000060,2025-01-03,PROD020,WH001,12,12,98676.84
ORD000061,2025-01-04,PROD001,WH001,9,9,244983.65
ORD000062,2025-01-04,PROD002,WH001,7,7,399179.71
ORD000063,2025-01-04,PROD003,WH002,11,11,128397.5
ORD000064,2025-01-04,PROD004,WH002,14,14,56612.85
ORD000065,2025-01-04,PROD005,WH003,24,24,40690.92
ORD000066,2025-01-04,PROD006,WH003,9,9,165171.69
ORD000067,2025-01-04,PROD007,WH003,19,19,47799.54
ORD000068,2025-01-04,PROD008,WH003,15,15,24670.23
ORD000069,2025-01-04,PROD009,WH004,34,34,17348.2
ORD000070,2025-01-04,PROD010,WH001,49,49,11783.82
ORD000071,2025-01-04,PROD011,WH001,84,84,5066.37
ORD000072,2025-01-04,PROD012,WH001,27,27,29902.42
ORD000073,2025-01-04,PROD013,WH004,99,99,2574.77
ORD000074,2025-01-04,PROD014,WH004,83,83,3523.39
ORD000075,2025-01-04,PROD015,WH004,45,45,20501.28
ORD000076,2025-01-04,PROD016,WH004,27,27,33835.82
ORD000077,2025-01-04,PROD017,WH003,38,38,13148.7
ORD000078,2025-01-04,PROD018,WH003,19,19,37511.29
ORD000079,2025-01-04,PROD019,WH001,9,9,188213.81
ORD000080,2025-01-04,PROD020,WH001,8,8,102119.06
ORD000081,2025-01-05,PROD001,WH001,8,8,244867.02
ORD000082,2025-01-05,PROD002,WH001,8,8,397984.31
ORD000083,2025-01-05,PROD003,WH002,10,10,125242.09
ORD000084,2025-01-05,PROD004,WH002,22,22,57037.93
ORD000085,2025-01-05,PROD005,WH003,25,25,39568.22
ORD000086,2025-01-05,PROD006,WH003,8,8,160264.35
ORD000087,2025-01-05,PROD007,WH003,24,24,48719.27
ORD000088,2025-01-05,PROD008,WH003,34,34,25675.88
ORD000089,2025-01-05,PROD009,WH004,45,45,16713.65
ORD000090,2025-01-05,PROD010,WH001,43,43,11886.08
ORD000091,2025-01-05,PROD011,WH001,68,68,4911.93
ORD000092,2025-01-05,PROD012,WH001,21,21,30774.09
ORD000093,2025-01-05,PROD013,WH004,96,96,2426.4
ORD000094,2025-01-05,PROD014,WH004,64,64,3517.61
ORD000095,2025-01-05,PROD015,WH004,27,27,21467.16
ORD000096,2025-01-05,PROD016,WH004,18,18,33360.07
ORD000097,2025-01-05,PROD017,WH003,32,32,13572.9
ORD000098,2025-01-05,PROD018,WH003,51,51,36975.48
ORD000099,2025-01-05,PROD019,WH001,7,7,193586.27
ORD000100,2025-01-05,PROD020,WH001,9,9,98646.57
ORD000101,2025-01-06,PROD001,WH001,9,9,247038.05
ORD000102,2025-01-06,PROD002,WH001,6,6,420381.44
ORD000103,2025-01-06,PROD003,WH002,15,15,126743.87
ORD000104,2025-01-06,PROD004,WH002,23,23,57989.01
ORD000105,2025-01-06,PROD005,WH003,32,32,40639.81
ORD000106,2025-01-06,PROD006,WH003,11,11,161343.03
ORD000107,2025-01-06,PROD007,WH003,20,20,47453.37
ORD000108,2025-01-06,PROD008,WH003,38,38,24290.34
ORD000109,2025-01-06,PROD009,WH004,45,45,17147.93
ORD000110,2025-01-06,PROD010,WH001,30,30,12219.99
ORD000111,2025-01-06,PROD011,WH001,50,50,5133.89
ORD000112,2025-01-06,PROD012,WH001,33,33,30335.71
ORD000113,2025-01-06,PROD013,WH004,97,97,2534.81
ORD000114,2025-01-06,PROD014,WH004,69,69,3583.05
ORD000115,2025-01-06,PROD015,WH004,42,42,21549.84
ORD000116,2025-01-06,PROD016,WH004,22,22,33982.25
ORD000117,2025-01-06,PROD017,WH003,24,24,13183.93
ORD000118,2025-01-06,PROD018,WH003,38,38,37923.43
ORD000119,2025-01-06,PROD019,WH001,3,3,190639.24
ORD000120,2025-01-06,PROD020,WH001,11,11,100789.27
ORD000121,2025-01-07,PROD001,WH001,7,7,247045.7
ORD000122,2025-01-07,PROD002,WH001,7,7,420272.06
ORD000123,2025-01-07,PROD003,WH002,19,19,124222.73
ORD000124,2025-01-07,PROD004,WH002,30,30,56654.82
ORD000125,2025-01-07,PROD005,WH003,27,27,39315.5
ORD000126,2025-01-07,PROD006,WH003,14,14,161770.62
ORD000127,2025-01-07,PROD007,WH003,16,16,47585.32
ORD000128,2025-01-07,PROD008,WH003,38,38,25564.73
ORD000129,2025-01-07,PROD009,WH004,38,38,16936.73
ORD000130,2025-01-07,PROD010,WH001,28,28,12048.44
ORD000131,2025-01-07,PROD011,WH001,39,39,4903.75
ORD000132,2025-01-07,PROD012,WH001,31,31,29987.13
ORD000133,2025-01-07,PROD013,WH004,80,80,2556.04
ORD000134,2025-01-07,PROD014,WH004,56,56,3557.43
ORD000135,2025-01-07,PROD015,WH004,36,36,20472.3
ORD000136,2025-01-07,PROD016,WH004,23,23,34738.63
ORD000137,2025-01-07,PROD017,WH003,34,34,13316.8
ORD000138,2025-01-07,PROD018,WH003,13,13,38377.83
ORD000139,2025-01-07,PROD019,WH001,8,8,185968.77
ORD000140,2025-01-07,PROD020,WH001,13,13,101047.87
ORD000141,2025-01-08,PROD001,WH001,9,9,233314.1
ORD000142,2025-01-08,PROD002,WH001,4,4,412475.86
ORD000143,2025-01-08,PROD003,WH002,20,20,126094.55
ORD000144,2025-01-08,PROD004,WH002,16,16,57110.85
ORD000145,2025-01-08,PROD005,WH003,18,18,41048.74
ORD000146,2025-01-08,PROD006,WH003,8,8,160505.13
ORD000147,2025-01-08,PROD007,WH003,12,12,49128.12
ORD000148,2025-01-08,PROD008,WH003,24,24,24822.85
ORD000149,2025-01-08,PROD009,WH004,21,21,17218.19
ORD000150,2025-01-08,PROD010,WH001,52,52,12109.11
ORD000151,2025-01-08,PROD011,WH001,83,83,4900.47
ORD000152,2025-01-08,PROD012,WH001,25,25,29674.2
ORD000153,2025-01-08,PROD013,WH004,134,134,2504.45
ORD000154,2025-01-08,PROD014,WH004,71,71,3572.77
ORD000155,2025-01-08,PROD015,WH004,38,38,21573.12
ORD000156,2025-01-08,PROD016,WH004,27,27,33022.0
ORD000157,2025-01-08,PROD017,WH003,43,43,13380.57
ORD000158,2025-01-08,PROD018,WH003,51,51,38383.37
ORD000159,2025-01-08,PROD019,WH001,6,6,190316.12
ORD000160,2025-01-08,PROD020,WH001,16,16,102658.13
ORD000161,2025-01-09,PROD001,WH001,8,8,233044.36
ORD000162,2025-01-09,PROD002,WH001,5,5,408468.39
ORD000163,2025-01-09,PROD003,WH002,1,1,126266.03
ORD000164,2025-01-09,PROD004,WH002,18,18,57017.19
ORD000165,2025-01-09,PROD005,WH003,21,21,40542.09
ORD000166,2025-01-09,PROD006,WH003,16,16,160854.16
ORD000167,2025-01-09,PROD007,WH003,19,19,47858.99
ORD000168,2025-01-09,PROD008,WH003,36,36,25264.35
ORD000169,2025-01-09,PROD009,WH004,37,37,16762.09
ORD000170,2025-01-09,PROD010,WH001,39,39,11693.17
ORD000171,2025-01-09,PROD011,WH001,103,103,5137.11
ORD000172,2025-01-09,PROD012,WH001,26,26,30744.88
ORD000173,2025-01-09,PROD013,WH004,61,61,2563.96
ORD000174,2025-01-09,PROD014,WH004,104,104,3600.49
ORD000175,2025-01-09,PROD015,WH004,16,16,20602.72
ORD000176,2025-01-09,PROD016,WH004,27,27,33301.86
ORD000177,2025-01-09,PROD017,WH003,40,40,13122.71
ORD000178,2025-01-09,PROD018,WH003,44,44,38893.36
ORD000179,2025-01-09,PROD019,WH001,7,7,192881.5
ORD000180,2025-01-09,PROD020,WH001,8,8,100799.57
ORD000181,2025-01-10,PROD001,WH001,5,5,246158.54
ORD000182,2025-01-10,PROD002,WH001,4,4,411846.88
ORD000183,2025-01-10,PROD003,WH002,19,19,122222.98
ORD000184,2025-01-10,PROD004,WH002,14,14,56875.49
ORD000185,2025-01-10,PROD005,WH003,25,25,39117.24
ORD000186,2025-01-10,PROD006,WH003,10,10,163095.81
ORD000187,2025-01-10,PROD007,WH003,16,16,47652.95
ORD000188,2025-01-10,PROD008,WH003,30,30,25445.26
ORD000189,2025-01-10,PROD009,WH004,31,31,16685.08
ORD000190,2025-01-10,PROD010,WH001,55,55,12162.26
ORD000191,2025-01-10,PROD011,WH001,90,90,4997.37
ORD000192,2025-01-10,PROD012,WH001,26,26,30899.39
ORD000193,2025-01-10,PROD013,WH004,45,45,2541.49
ORD000194,2025-01-10,PROD014,WH004,72,72,3598.48
ORD000195,2025-01-10,PROD015,WH004,45,45,20801.36
ORD000196,2025-01-10,PROD016,WH004,26,26,33231.02
ORD000197,2025-01-10,PROD017,WH003,39,39,13504.78
ORD000198,2025-01-10,PROD018,WH003,30,30,37143.27
ORD000199,2025-01-10,PROD019,WH001,7,7,189913.95
ORD000200,2025-01-10,PROD020,WH001,5,5,98619.65
ORD000201,2025-01-11,PROD001,WH001,13,13,239871.08
ORD000202,2025-01-11,PROD002,WH001,6,6,421061.05
ORD000203,2025-01-11,PROD003,WH002,17,17,123417.76
ORD000204,2025-01-11,PROD004,WH002,24,24,59717.15
ORD000205,2025-01-11,PROD005,WH003,29,29,39350.39
ORD000206,2025-01-11,PROD006,WH003,7,7,162110.27
ORD000207,2025-01-11,PROD007,WH003,21,21,48128.99
ORD000208,2025-01-11,PROD008,WH003,30,30,25513.07
ORD000209,2025-01-11,PROD009,WH004,52,52,17254.49
ORD000210,2025-01-11,PROD010,WH001,67,67,12160.95
ORD000211,2025-01-11,PROD011,WH001,111,111,4934.79
ORD000212,2025-01-11,PROD012,WH001,21,21,29140.53
ORD000213,2025-01-11,PROD013,WH004,87,87,2449.26
ORD000214,2025-01-11,PROD014,WH004,82,82,3468.39
ORD000215,2025-01-11,PROD015,WH004,33,33,21594.32
ORD000216,2025-01-11,PROD016,WH004,23,23,34856.35
ORD000217,2025-01-11,PROD017,WH003,47,47,13257.52
ORD000218,2025-01-11,PROD018,WH003,37,37,38514.42
ORD000219,2025-01-11,PROD019,WH001,9,9,190900.79
ORD000220,2025-01-11,PROD020,WH001,12,12,97299.06
ORD000221,2025-01-12,PROD001,WH001,5,5,238152.56
ORD000222,2025-01-12,PROD002,WH001,3,3,409657.41
ORD000223,2025-01-12,PROD003,WH002,7,7,126256.81
ORD000224,2025-01-12,PROD004,WH002,16,16,57286.27
ORD000225,2025-01-12,PROD005,WH003,35,35,41041.16
ORD000226,2025-01-12,PROD006,WH003,9,9,164523.6
ORD000227,2025-01-12,PROD007,WH003,15,15,47275.77
ORD000228,2025-01-12,PROD008,WH003,32,32,24724.64
ORD000229,2025-01-12,PROD009,WH004,15,15,17256.92
ORD000230,2025-01-12,PROD010,WH001,52,52,12101.01
ORD000231,2025-01-12,PROD011,WH001,141,141,5072.65
ORD000232,2025-01-12,PROD012,WH001,22,22,29626.22
ORD000233,2025-01-12,PROD013,WH004,129,129,2474.03
ORD000234,2025-01-12,PROD014,WH004,87,87,3478.31
ORD000235,2025-01-12,PROD015,WH004,36,36,20607.63
ORD000236,2025-01-12,PROD016,WH004,12,12,34389.73
ORD000237,2025-01-12,PROD017,WH003,31,31,13361.77
ORD000238,2025-01-12,PROD018,WH003,36,36,37603.82
ORD000239,2025-01-12,PROD019,WH001,6,6,187370.76
ORD000240,2025-01-12,PROD020,WH001,11,11,99716.97
ORD000241,2025-01-13,PROD001,WH001,7,7,243916.46
ORD000242,2025-01-13,PROD002,WH001,5,5,418255.97
ORD000243,2025-01-13,PROD003,WH002,11,11,127283.81
ORD000244,2025-01-13,PROD004,WH002,16,16,58421.75
ORD000245,2025-01-13,PROD005,WH003,27,27,39473.03
ORD000246,2025-01-13,PROD006,WH003,13,13,167325.07
ORD000247,2025-01-13,PROD007,WH003,10,10,46673.36
ORD000248,2025-01-13,PROD008,WH003,13,13,25447.23
ORD000249,2025-01-13,PROD009,WH004,36,36,17285.83
ORD000250,2025-01-13,PROD010,WH001,48,48,12122.4
ORD000251,2025-01-13,PROD011,WH001,58,58,4879.38
ORD000252,2025-01-13,PROD012,WH001,20,20,30895.21
ORD000253,2025-01-13,PROD013,WH004,66,66,2538.46
ORD000254,2025-01-13,PROD014,WH004,82,82,3549.31
ORD000255,2025-01-13,PROD015,WH004,25,25,20450.65
ORD000256,2025-01-13,PROD016,WH004,25,25,33793.36
ORD000257,2025-01-13,PROD017,WH003,23,23,13164.8
ORD000258,2025-01-13,PROD018,WH003,41,41,37683.16
ORD000259,2025-01-13,PROD019,WH001,7,7,190803.54
ORD000260,2025-01-13,PROD020,WH001,12,12,102273.23
ORD000261,2025-01-14,PROD001,WH001,8,8,236874.3
ORD000262,2025-01-14,PROD002,WH001,7,7,413036.0
ORD000263,2025-01-14,PROD003,WH002,19,19,122484.89
ORD000264,2025-01-14,PROD004,WH002,9,9,57491.79
ORD000265,2025-01-14,PROD005,WH003,30,30,41073.37
ORD000266,2025-01-14,PROD006,WH003,5,5,167451.65
ORD000267,2025-01-14,PROD007,WH003,18,18,48131.92
ORD000268,2025-01-14,PROD008,WH003,30,30,24627.55
ORD000269,2025-01-14,PROD009,WH004,20,20,16877.3
ORD000270,2025-01-14,PROD010,WH001,34,34,11752.82
ORD000271,2025-01-14,PROD011,WH001,75,75,4956.04
ORD000272,2025-01-14,PROD012,WH001,30,30,29371.14
ORD000273,2025-01-14,PROD013,WH004,132,132,2544.3
ORD000274,2025-01-14,PROD014,WH004,101,101,3411.96
ORD000275,2025-01-14,PROD015,WH004,27,27,20608.65
ORD000276,2025-01-14,PROD016,WH004,22,22,34389.98
ORD000277,2025-01-14,PROD017,WH003,39,39,13826.04
ORD000278,2025-01-14,PROD018,WH003,37,37,39059.27
ORD000279,2025-01-14,PROD019,WH001,6,6,193830.66
ORD000280,2025-01-14,PROD020,WH001,16,16,98268.83
ORD000281,2025-01-15,PROD001,WH001,8,8,236914.24
ORD000282,2025-01-15,PROD002,WH001,6,6,419120.51
ORD000283,2025-01-15,PROD003,WH002,12,12,127920.0
ORD000284,2025-01-15,PROD004,WH002,19,19,58489.47
ORD000285,2025-01-15,PROD005,WH003,22,22,39552.74
ORD000286,2025-01-15,PROD006,WH003,8,8,162268.16
ORD000287,2025-01-15,PROD007,WH003,30,30,49014.57
ORD000288,2025-01-15,PROD008,WH003,28,28,24557.88
ORD000289,2025-01-15,PROD009,WH004,38,38,17165.04
ORD000290,2025-01-15,PROD010,WH001,43,43,12336.93
ORD000291,2025-01-15,PROD011,WH001,66,66,5061.59
ORD000292,2025-01-15,PROD012,WH001,32,32,29563.81
ORD000293,2025-01-15,PROD013,WH004,56,56,2467.38
ORD000294,2025-01-15,PROD014,WH004,77,77,3414.51
ORD000295,2025-01-15,PROD015,WH004,26,26,21234.66
ORD000296,2025-01-15,PROD016,WH004,31,31,34037.61
ORD000297,2025-01-15,PROD017,WH003,30,30,13262.24
ORD000298,2025-01-15,PROD018,WH003,82,82,37379.08
ORD000299,2025-01-15,PROD019,WH001,9,9,184402.88
ORD000300,2025-01-15,PROD020,WH001,10,10,102870.52
ORD000301,2025-01-16,PROD001,WH001,9,9,244723.46
